Date,gross mortgage lending during period Â£m,notes
Sep 1997,6767,
Oct 1997,6973,
Nov 1997,6223,
Dec 1997,6489,
Jan 1998,5231,
Feb 1998,5189,
Mar 1998,6564,
Apr 1998,6884,
May 1998,7002,
Jun 1998,8290,
Jul 1998,9385,
Aug 1998,8189,
Sep 1998,8213,
Oct 1998,7957,
Nov 1998,7764,
Dec 1998,7622,
Jan 1999,5954,
Feb 1999,6070,
Mar 1999,8708,
Apr 1999,8759,
May 1999,9137,
Jun 1999,10681,
Jul 1999,11707,
Aug 1999,10794,
Sep 1999,10758,
Oct 1999,10366,
Nov 1999,10611,
Dec 1999,9511,
Jan 2000,7344,
Feb 2000,7814,
Mar 2000,10167,
Apr 2000,9107,
May 2000,10073,
Jun 2000,11426,
Jul 2000,10565,
Aug 2000,11009,
Sep 2000,9821,
Oct 2000,9889,
Nov 2000,10618,
Dec 2000,9895,
Jan 2001,9409,
Feb 2001,9156,
Mar 2001,11607,
Apr 2001,11379,
May 2001,13483,
Jun 2001,14606,
Jul 2001,15211,
Aug 2001,16326,
Sep 2001,13503,
Oct 2001,14800,
Nov 2001,15075,
Dec 2001,13033,
Jan 2002,13356,
Feb 2002,13194,
Mar 2002,15561,
Apr 2002,16201,
May 2002,20223,
Jun 2002,17020,
Jul 2002,21356,
Aug 2002,20952,
Sep 2002,19222,
Oct 2002,21100,
Nov 2002,20736,
Dec 2002,19249,
Jan 2003,19495,
Feb 2003,17705,
Mar 2003,19641,
Apr 2003,20336,
May 2003,22199,
Jun 2003,22791,
Jul 2003,25608,
Aug 2003,24036,
Sep 2003,25794,
Oct 2003,27881,
Nov 2003,25364,
Dec 2003,24270,
Jan 2004,21720,
Feb 2004,20789,
Mar 2004,24345,
Apr 2004,24669,
May 2004,24013,
Jun 2004,27994,
Jul 2004,28588,
Aug 2004,26265,
Sep 2004,24988,
Oct 2004,22810,
Nov 2004,21540,
Dec 2004,20892,
Jan 2005,17121,
Feb 2005,17632,
Mar 2005,20527,
Apr 2005,21478,
May 2005,22058,
Jun 2005,25562,
Jul 2005,25156,
Aug 2005,26450,
Sep 2005,27090,
Oct 2005,26510,
Nov 2005,27544,
Dec 2005,26324,
Jan 2006,22691,
Feb 2006,22272,
Mar 2006,27736,
Apr 2006,24204,
May 2006,28640,
Jun 2006,31839,
Jul 2006,30117,
Aug 2006,32749,
Sep 2006,29018,
Oct 2006,30410,
Nov 2006,33138,
Dec 2006,28117,
Jan 2007,26564,
Feb 2007,24986,
Mar 2007,30864,
Apr 2007,27291,
May 2007,31452,
Jun 2007,33837,
Jul 2007,33842,
Aug 2007,33641,
Sep 2007,29914,
Oct 2007,32656,
Nov 2007,28956,
Dec 2007,22799,
Jan 2008,25212,
Feb 2008,24087,
Mar 2008,23041,
Apr 2008,25338,
May 2008,23735,
Jun 2008,22592,
Jul 2008,23620,
Aug 2008,19099,
Sep 2008,16729,
Oct 2008,17909,
Nov 2008,13970,
Dec 2008,12473,
Jan 2009,11174,
Feb 2009,9625,
Mar 2009,10764,
Apr 2009,10151,
May 2009,9982,
Jun 2009,11990,
Jul 2009,13786,
Aug 2009,11859,
Sep 2009,12596,
Oct 2009,13243,
Nov 2009,12177,
Dec 2009,13226,
Jan 2010,8663,
Feb 2010,9229,
Mar 2010,11366,
Apr 2010,10129,
May 2010,10820,
Jun 2010,12620,
Jul 2010,13325,
Aug 2010,12075,
Sep 2010,12177,
Oct 2010,11381,
Nov 2010,11470,
Dec 2010,10552,
Jan 2011,9353,
Feb 2011,9178,
Mar 2011,11222,
Apr 2011,9833,
May 2011,10618,
Jun 2011,12375,
Jul 2011,12334,
Aug 2011,13074,
Sep 2011,13446,
Oct 2011,12033,
Nov 2011,13047,
Dec 2011,11744,
Jan 2012,10803,
Feb 2012,10392,
Mar 2012,12764,
Apr 2012,10061,
May 2012,12766,
Jun 2012,12142,
Jul 2012,13075,
Aug 2012,13180,
Sep 2012,11708,
Oct 2012,13067,
Nov 2012,12981,
Dec 2012,11573,
Jan 2013,11720,
Feb 2013,10702,
Mar 2013,11633,
Apr 2013,12431,
May 2013,15001,
Jun 2013,14923,
Jul 2013,16881,
Aug 2013,16644,
Sep 2013,16290,
Oct 2013,17703,
Nov 2013,17098,
Dec 2013,16689,
Jan 2014,16103,
Feb 2014,14737,
Mar 2014,15371,
Apr 2014,16766,
May 2014,16830,
Jun 2014,17901,
Jul 2014,19344,
Aug 2014,17831,
Sep 2014,17806,
Oct 2014,18364,
Nov 2014,16111,
Dec 2014,16220,
Jan 2015,14961,
Feb 2015,13724,
Mar 2015,16338,
Apr 2015,16165,
May 2015,16227,
Jun 2015,20279,
Jul 2015,21792,
Aug 2015,19732,
Sep 2015,20254,
Oct 2015,21932,
Nov 2015,20554,
Dec 2015,19820,
Jan 2016,18574,
Feb 2016,18069,
Mar 2016,26319,What happened here??
Apr 2016,17680,
May 2016,17935,
Jun 2016,21530,
Jul 2016,21054,
Aug 2016,22058,
Sep 2016,20473,
Oct 2016,20346,
Nov 2016,21145,
Dec 2016,19958,
Jan 2017,19963,
Feb 2017,18114,
Mar 2017,20983,
Apr 2017,18186,
May 2017,20573,
Jun 2017,23147,
Jul 2017,22748,
Aug 2017,24200,
